"GeneName"	"log2FC"	"pvalue"	"padj"
"TDRD1"	"-0.223835213853008"	"0.00276265688959323"	"0.16284962984537"
"TNFSF14"	"-0.219207790810224"	"0.00275718295501268"	"0.16284962984537"
"UNC5A"	"0.822575357012834"	"0.00278199308558126"	"0.16284962984537"
"ADAMTS17"	"-0.303439074746413"	"0.00283323899427649"	"0.163566858854963"
"LMCD1"	"-0.724309535256585"	"0.00283501836546295"	"0.163566858854963"
"PMEL"	"-0.375036881461574"	"0.00284677164928145"	"0.163636651840178"
"BCL9"	"-0.351635535484805"	"0.00287956267778698"	"0.164910748189129"
"CCR6"	"-0.38415604578664"	"0.00295217164014841"	"0.166609832200376"
"DNAJC12"	"0.992468179575042"	"0.00294122893007564"	"0.166609832200376"
"MT1E"	"1.37946908475544"	"0.0029402337956521"	"0.166609832200376"
"PTMS"	"0.636089203052862"	"0.00294542584679647"	"0.166609832200376"
"NLN"	"0.272022601020853"	"0.00298503652248885"	"0.167854227641402"
"GTPBP8"	"-0.314532054539549"	"0.00299708660413877"	"0.167923408289653"
"CLIC5"	"-0.850536558548246"	"0.00303288125553826"	"0.169317687359546"
"AKR1B1"	"1.36236419712022"	"0.00312023496236172"	"0.171321670235979"
"C11orf24"	"-0.274323894147537"	"0.00308466798985253"	"0.171321670235979"
"HSD17B7"	"-0.417531092578312"	"0.00312397117762771"	"0.171321670235979"
"VPS9D1"	"-0.360505981702509"	"0.00310951231045565"	"0.171321670235979"
"XPNPEP3"	"-0.283238223116475"	"0.00309712478573946"	"0.171321670235979"
"GYG2"	"-0.749808365713082"	"0.00313541183943946"	"0.171343632915847"
"SNF8"	"-0.30190199913017"	"0.00316470470556074"	"0.172337603615097"
"LILRB1"	"-0.194983114766711"	"0.00317921180179554"	"0.172369197035155"
"RASSF10"	"-0.587459693829759"	"0.0031874973936269"	"0.172369197035155"
"IARS"	"0.329252031501592"	"0.00321260291873425"	"0.172524558127182"
"LILRB3"	"-0.182191304024602"	"0.00321143393221567"	"0.172524558127182"
"ALKBH6"	"-0.323323526365659"	"0.00328111856542197"	"0.174503069175275"
"FBXO9"	"-0.240700318149826"	"0.00326266740502668"	"0.174503069175275"
